,,,,"Перечень объектов, подлежащих мониторингу в 2 квартале 2026 года",,,,,,,,,,,,,,,,,,,,,,
№№,Ссылка на дашборд,УИН,Код ДС,Наименование объекта,Статус,ГРБС,Заказчик,Генподрядчик,"Плановый ввод
 по директивному графику (по дашборду)",%,категория,График  ВВЕ 26-30,Строймониторинг (план),Строймониторинг (факт),Стройконтроль (план),Стройконтроль (факт),Мониторинг объектов метрополитена (план),Мониторинг объектов метрополитена (факт),Мониторинг уникальных объектов (план),Мониторинг уникальных объектов (факт),Лабораторные исследования (план),Лабораторные исследования (факт),Мониторинг СУИД (план),Мониторинг СУИД (факт),Мониторинг КСГ (план),Мониторинг КСГ (факт) 
9,https://dashboard-stroi.mos.ru/dashboard/75,TT0000-99-7789-001,021-0470,"Жилой дом с инженерными сетями и благоустройством территории по адресу: Российская Федерация, город Москва, внутригородская территория муниципальный округ Царицыно, земельный участок 27/1 (Южный административный округ)",в строительстве,ДГП,"ФОНД ""РЕНОВАЦИИ""","АО ""Москапстрой""",30.3.2026,90,81-100,отсутствует,V,,V,,,,,,,,V,,V,30.03.2026
10,https://dashboard-stroi.mos.ru/dashboard/88,TT0000-99-7830-001,020-0033,"«Жилой дом с инженерными сетями и благоустройством территории (со сносом жилых зданий по адресам: г. Зеленоград, к.925; г. Зеленоград, к.926; г. Зеленоград, к.927)» по адресу: г. Москва, район Старое Крюково, г. Зеленоград, Панфиловский проспект, з/у 927 (Зеленоград, вл.927) (Зеленоградский административный округ)",в строительстве,ДГП,"ФОНД ""РЕНОВАЦИИ""","ООО ""АЛЬТСТРОЙ""",30.6.2026,56,41-60,отсутствует,V,,V,,,,,,V,,V,,V,30.03.2026
11,https://dashboard-stroi.mos.ru/dashboard/93,TT0000-99-7852-001,020-0480,"«Жилой дом с инженерными сетями и благоустройством территории (со сносом жилых домов по адресам: ул.Паперника, д.1, ул. Паперника, д.3, ул. Паперника, д.5) по адресу: г. Москва, внутригородское муниципальное образование Рязанское, 3-я Институтская улица, земельный участок 4/1 (3-я Институтская ул., рядом с д. 4)» (Юго-Восточный административный округ)»",в строительстве,ДГП,"ФОНД ""РЕНОВАЦИИ""","ООО ""ГП-МФС""",30.5.2026,65,61-80,отсутствует,V,,V,,,,,,V,,V,,V,30.03.2026
12,https://dashboard-stroi.mos.ru/dashboard/96,TT0000-99-7860-001,020-0476,"«Жилой дом с инженерными сетями и благоустройством территории» (со сносом жилого дома по адресу: г. Москва, ул. 2-я Фрезерная, д.6) по адресу: г. Москва, район Нижегородский, улица 2-я Фрезерная, земельный участок 6 (2-я Фрезерная ул., вл. 6) (Юго-Восточный административный округ)",в строительстве,ДГП,"ФОНД ""РЕНОВАЦИИ""","ООО ""ГЕНСТРОЙТРЕСТ""",30.3.2026,93,81-100,отсутствует,V,,V,,,,,,,,V,,V,30.03.2026
13,https://dashboard-stroi.mos.ru/dashboard/97,TT0000-99-7874-001,020-0462,"Жилой дом с размещением с подземной автостоянкой с инженерными сетями и благоустройством территории (со сносом жилого здания по адресу: ул. Свободы д.69) по адресу: г.Москва,район Северное Тушино, улица Свободы,земельный участок 69 (Свободы ул.вл. 69) (Северо-Западный административный округ)",в строительстве,ДГП,"ФОНД ""РЕНОВАЦИИ""","ООО ""КРОСТ-Д""",30.04.2026,81,81-100,отсутствует,V,,V,,,,,,,,V,,V,30.03.2026
14,https://dashboard-stroi.mos.ru/dashboard/101,TT0000-99-7912-001,021-0587,"«Жилой дом с подземной автостоянкой, инженерными сетями и благоустройством территории (со сносом жилых зданий по адресам: ул. Бутлерова, д. 34, корп.1; ул. Бутлерова, д. 34, корп.2; ул. Бутлерова, д. 36, корп.1; ул. Бутлерова, д. 36, корп.2) по адресу: Российская Федерация, город Москва, внутиригородское муниципальное образование Коньково, улица Бутлерова, земельный участок 34А (Юго-Западный административный округ)»",в строительстве,ДГП,"ФОНД ""РЕНОВАЦИИ""","АО ""МФС-6""",28.02.2026,91,81-100,отсутствует,V,,V,,,,,,,,V,,V,30.03.2026
15,https://dashboard-stroi.mos.ru/dashboard/103,TT0000-99-7929-001,021-0353,"«Жилой дом с инженерными сетями и благоустройством территории (со сносом здания по адресу: Люблинская улица, вл. 121/1)» по адресу: г. Москва, внутригородское муниципальное образование Люблино, улица Люблинская, земельный участок 121/1 (Люблинская улица, вл. 121/1) (Юго-Восточный административный округ)",в строительстве,ДГП,"ФОНД ""РЕНОВАЦИИ""","ООО ""ГП-МФС""",30.05.2026,71,61-80,отсутствует,V,,V,,,,,,,,V,,V,30.03.2026
16,https://dashboard-stroi.mos.ru/dashboard/104,TT0000-99-7930-001,021-0355,"«Жилой дом, с инженерными сетями и благоустройством территории (со сносом жилых домов по адресам: Булатниковский пр-д, д. 2в, корп. 3, Булатниковский пр-д, д. 2в, корп. 4 и Булатниковский пр-д, д. 2в, корп. 5) по адресу: внутригородское муниципальное образование Бирюлёво Западное, Булатниковский пр-д, земельный участок 2В/3 (Булатниковский пр-д, вл.2В, корп.3)» (Южный административный округ)»",в строительстве,ДГП,"ФОНД ""РЕНОВАЦИИ""","ООО ""АСГ ТЕХНО СТРОЙ""",30.03.2026,91,81-100,отсутствует,V,,V,,,,,,,,V,,V,30.03.2026
17,https://dashboard-stroi.mos.ru/dashboard/121,TT0000-99-8281-001,020-0474,"Жилые дома с подземной автостоянкой, инженерными сетями и благоустройством территории по адресу: г. Москва, внутригородское муниципальное образование Кузьминки, улица Шумилова, земельный участок 26А (улица Шумилова, земельный участок 26)",в строительстве,ДГП,"ФОНД ""РЕНОВАЦИИ""","ООО ""ГП-МФС""",30.03.2026,86,81-100,отсутствует,V,,V,,,,,,,,V,,V,30.03.2026
18,https://dashboard-stroi.mos.ru/dashboard/122,IH4014-99-0001-001,020-0096,"""Жилые дома с приспособлением подземной автостоянки под укрытие - 3300 мест для обеспечения защиты населения в период чрезвычайных ситуаций, с инженерными сетями и благоустройством территории (со сносом жилых зданий по адресам: ш. Щёлковское, д.60; ш. Щёлковское, д.62/59; 11-я Парковая ул., д.57, к.4; 11-я Парковая ул., д.57, к.3; 11-я Парковая ул., д.57, к.2; 11-я Парковая ул., д.57, к.1) по адресу: город Москва, район Северное Измайлово, 11-я Парковая улица, земельный участок 57 (Восточный административный округ)""",в строительстве,ДГП,"ФОНД ""РЕНОВАЦИИ""","ООО ""РЕГИОНЖИЛСТРОЙ""",30.04.2026,75,61-80,отсутствует,V,,V,,,,,,,,V,,V,30.03.2026
